DoB,SApM,SLpM,height,name,reach,record,stance,strAcc,strDef,subAvg,tdAcc,tdAvg,tdDef,weight
Jul 20 1983,2.57,2.57,"6' 0""",Pat Healy,72,34-23-0 (1 NC),Orthodox,36%,50%,1.1,37%,3.08,55%,155
Sep 08 1972,5.29,2.94,"5' 9""",John Halverson,,16-8-0 (1 NC),Southpaw,43%,47%,2.0,0%,0.00,66%,155
Dec 01 1994,4.80,2.60,"6' 1""",Kailan Hill,77,4-1-0 (1 NC),Southpaw,53%,37%,0.0,42%,3.00,0%,185
Oct 12 1990,2.45,3.60,"5' 5""",Kyoji Horiguchi,66,19-2-0,Orthodox,45%,62%,0.0,44%,2.00,55%,125
Oct 25 1993,4.37,5.37,"5' 8""",Carlos Hernandez,67,8-1-0,Orthodox,47%,45%,0.5,11%,1.00,70%,125
Oct 03 1984,3.78,4.98,"6' 4""",Dave Herman,77,22-6-0,Orthodox,60%,48%,0.0,100%,1.49,58%,242
Aug 24 1970,2.70,2.44,"5' 11""",Dan Henderson,74,32-15-0,Orthodox,47%,51%,0.3,52%,1.52,57%,185
Jul 28 1987,4.21,2.05,"5' 10""",Darrell Horcher,70,13-4-0,Southpaw,44%,39%,0.7,50%,0.35,47%,155
Jan 07 1987,4.27,3.23,"5' 10""",Matt Hobar,70,9-3-0,Southpaw,42%,52%,0.0,44%,3.66,50%,135
Apr 30 1999,4.03,2.83,"5' 8""",Brady Hiestand,71,7-2-0,Orthodox,50%,43%,0.5,47%,4.50,50%,135
Oct 12 1989,7.53,6.33,"6' 1""",Collin Hart,,6-3-1,Orthodox,44%,51%,0.0,16%,2.00,50%,185
Nov 29 1983,4.13,1.93,"6' 3""",James Hammortree,,6-3-0,Orthodox,30%,44%,1.0,50%,2.00,100%,185
Jul 23 1987,1.80,3.40,"6' 1""",John Hathaway,75,17-2-0,Orthodox,40%,62%,0.9,43%,2.61,60%,170
Oct 01 1992,4.54,4.09,"5' 9""",Alexander Hernandez,72,13-6-0,Orthodox,39%,55%,0.2,33%,1.63,61%,145
Oct 03 1978,1.61,3.57,"6' 4""",Corey Hill,80,6-9-0,Orthodox,46%,70%,0.0,80%,3.02,100%,155
Mar 01 1983,3.08,2.15,"5' 7""",John Howard,72,24-13-0,Orthodox,50%,51%,0.4,49%,2.70,53%,170
Jun 24 1978,3.35,1.12,"5' 8""",Joe Hurley,,12-5-0,,45%,56%,0.0,0%,0.00,20%,155
Jul 04 1995,2.73,3.10,"6' 4""",Joseph Holmes,80,8-3-0,Orthodox,51%,58%,0.9,37%,1.41,55%,185
Oct 02 1977,6.56,2.84,"5' 4""",Takayo Hashi,,15-6-1,Orthodox,26%,61%,0.0,0%,0.00,0%,135
--,0.87,0.87,"6' 2""",Kevin Haley,,6-4-0,,59%,64%,2.0,100%,3.00,0%,205
Oct 17 1981,2.86,3.24,"5' 8""",Holly Holm,69,14-6-0,Southpaw,39%,56%,0.1,26%,0.72,78%,135
Jun 02 1969,4.67,0.93,"5' 11""",Chris Haseman,,20-17-0,Orthodox,70%,28%,2.0,0%,0.00,40%,205
May 20 1983,2.33,3.64,"5' 9""",Roger Huerta,70,23-9-1 (1 NC),Orthodox,36%,56%,0.5,46%,2.13,52%,155
Dec 04 1991,4.89,7.24,"5' 11""",Max Holloway,69,23-7-0,Orthodox,47%,59%,0.3,53%,0.29,84%,145
Jul 22 1986,5.51,2.72,"5' 9""",Ramiro Hernandez,,19-9-0,Orthodox,28%,64%,0.0,0%,0.00,0%,135
Apr 26 1981,3.67,1.90,"6' 2""",Brian Houston,,4-6-0,Orthodox,35%,53%,0.0,100%,0.95,87%,185
Sep 29 1984,0.51,0.81,"6' 0""",Jeremie Holloway,,8-3-0,,50%,79%,0.0,0%,0.00,0%,170
--,0.00,0.00,"5' 11""",Keith Hackney,,2-2-0,Sideways,0%,0%,0.0,0%,0.00,0%,200
May 04 1987,6.47,7.87,"5' 7""",Victor Henry,68,22-6-0,Switch,49%,47%,0.0,0%,0.00,75%,135
Oct 08 1978,6.47,1.83,"5' 11""",Roger Hollett,,13-5-0,Orthodox,47%,34%,0.0,28%,1.00,30%,205
--,11.67,0.00,"6' 0""",Tomohiko Hashimoto,,1-4-0,Orthodox,0%,30%,0.0,0%,0.00,0%,250
May 13 1988,2.85,2.45,"6' 1""",Jai Herbert,77,12-4-0,Orthodox,41%,42%,0.0,0%,0.00,55%,155
Jul 30 1977,4.03,1.25,"5' 9""",Josh Haynes,,14-11-0,Orthodox,22%,52%,0.0,18%,0.94,42%,170
--,0.00,0.00,"6' 3""",Casey Huffman,,3-1-0,,0%,0%,0.0,0%,0.00,0%,185
Oct 16 1983,0.00,0.00,"6' 1""",Adam Hunter,,7-1-0,Orthodox,0%,0%,0.0,0%,0.00,0%,185
Dec 22 1991,2.97,3.67,"5' 10""",Austin Hubbard,71,13-6-0,Orthodox,47%,58%,0.0,61%,1.35,63%,155
Jan 24 1995,6.93,5.27,"6' 2""",Christian Lohsen,77,4-2-0,Southpaw,49%,44%,2.0,0%,0.00,0%,155
Aug 17 1985,4.25,3.40,"6' 2""",Philipe Lins,78,15-5-0,Orthodox,49%,43%,0.0,36%,1.84,100%,205
Jul 29 1976,1.89,1.66,"6' 0""",Jay Hieron,75,23-7-0,Orthodox,32%,61%,1.0,60%,4.05,66%,170
May 17 1988,3.67,3.95,"6' 2""",Jeff Hughes,77,10-4-0 (1 NC),Orthodox,51%,60%,0.0,50%,0.71,45%,250
Jan 17 1975,3.89,1.37,"6' 6""",Tae Hyun Lee,,1-2-0,Orthodox,31%,54%,0.0,100%,5.15,0%,295
--,0.00,0.00,"5' 10""",Jeremiah Labiano,,11-5-0,,0%,0%,0.0,0%,0.00,0%,135
--,0.00,0.00,--,Rashard Lovelace,,4-1-0,,0%,0%,0.0,0%,0.00,0%,155
Sep 28 1988,4.82,3.35,"6' 4""",Justin Ledet,80,9-4-0 (1 NC),Orthodox,39%,49%,0.2,50%,0.23,42%,205
--,0.00,0.00,"6' 0""",Sione Latu,,1-0-0,,0%,0%,0.0,0%,0.00,0%,215
Jan 11 1981,1.61,3.79,"6' 0""",Muhammed Lawal,78,21-6-0 (1 NC),Southpaw,52%,66%,0.0,75%,5.96,87%,205
Jun 27 1989,3.87,2.48,"5' 5""",Gustavo Lopez,67,12-6-1,Orthodox,40%,57%,0.7,41%,1.74,31%,135
May 21 1982,2.87,3.13,"5' 8""",Ricardo Lamas,71,20-8-0,Orthodox,47%,57%,0.9,33%,1.84,46%,145
Nov 09 1987,1.81,4.17,"6' 6""",Austen Lane,80,12-3-0,Orthodox,45%,58%,0.0,0%,0.00,0%,245
--,0.00,0.00,"5' 6""",Cleber Luciano,,14-6-0,,0%,0%,0.0,0%,0.00,0%,155
May 22 1987,3.97,4.51,"5' 4""",Amanda Lemos,65,13-2-1,Southpaw,57%,50%,0.7,55%,1.12,81%,115
May 12 1973,2.42,0.41,"5' 11""",Travis Lutter,75,10-6-0,Orthodox,32%,42%,0.7,24%,1.95,30%,185
Mar 02 1991,0.00,0.00,"5' 6""",Tainara Lisboa,,5-2-0,,0%,0%,0.0,0%,0.00,0%,135
Jul 28 1980,4.11,1.81,"6' 2""",Nate Loughran,,11-2-0,Orthodox,40%,59%,2.1,0%,0.00,0%,185
Jun 21 1986,4.01,3.44,"5' 11""",Jake Lindsey,,12-7-0,Switch,52%,46%,0.0,33%,0.65,50%,155
Nov 16 1987,5.28,7.40,"6' 1""",Mounir Lazzez,76,11-2-0,Orthodox,54%,53%,0.0,66%,1.84,71%,170
Aug 31 1980,0.00,0.00,--,Lionel Lanham,,5-1-0,,0%,0%,0.0,0%,0.00,0%,205
Aug 04 1978,3.05,4.62,"5' 10""",Duane Ludwig,70,21-14-0,Orthodox,44%,57%,0.1,25%,0.43,59%,170
May 23 1982,0.00,0.00,"6' 3""",Sean Loeffler,,31-5-0,Orthodox,0%,0%,0.0,0%,0.00,0%,185
Jan 21 1987,3.73,3.13,"5' 7""",Matthew Lopez,69,10-4-0,Southpaw,50%,55%,1.3,60%,3.32,71%,135
Jul 10 1994,3.82,4.00,"5' 10""",Austin Lingo,70,9-1-0,Orthodox,42%,58%,0.0,66%,0.67,80%,145
--,7.36,0.82,--,Sam Liera,,12-10-0,,60%,51%,0.0,0%,0.00,66%,--
Dec 30 1994,4.31,1.96,"5' 11""",Diego Lopes,72,19-4-0,Orthodox,50%,40%,4.4,0%,0.00,25%,145
Aug 28 1985,1.82,1.97,"5' 9""",Thanh Le,74,6-1-0,Orthodox,40%,70%,0.0,0%,0.00,100%,145
--,5.35,1.78,"5' 4""",Federico Lopez,,10-6-0,Orthodox,23%,30%,0.0,0%,0.00,0%,139
Sep 22 1973,3.72,1.40,"5' 11""",James Lee,,15-3-0 (1 NC),Southpaw,42%,27%,7.0,50%,13.95,0%,205
Aug 18 1974,3.03,3.76,"5' 11""",Chris Lytle,68,31-18-5,Orthodox,45%,58%,2.4,55%,0.70,55%,170
--,0.00,0.00,"5' 8""",Alberta Cerra Leon,,0-1-0,,0%,0%,0.0,0%,0.00,0%,238
Jan 20 1977,0.30,0.00,"5' 7""",Tommy Lee,,25-6-0 (1 NC),Orthodox,0%,75%,0.0,33%,4.57,0%,145
May 25 1972,2.98,4.36,"5' 9""",Cung Le,70,9-3-0,Southpaw,48%,66%,0.3,71%,1.37,88%,185
--,5.33,2.53,"5' 10""",Josh LaBerge,,11-6-0,,36%,44%,0.0,0%,0.00,71%,145
Mar 15 1982,2.11,1.94,"5' 5""",Juliana Lima,65,9-5-0,Orthodox,44%,55%,0.0,31%,1.72,70%,115
Sep 09 1973,0.77,0.99,"5' 11""",Jose Landi-Jons,,29-16-0,Orthodox,40%,43%,2.2,80%,2.20,40%,170
Jul 12 1977,2.11,3.53,"6' 3""",Brock Lesnar,81,5-3-0 (1 NC),Orthodox,72%,50%,0.5,55%,3.90,60%,265
--,0.00,0.00,"6' 4""",Wesley Little,,4-8-0,,0%,0%,0.0,0%,0.00,0%,205
May 17 1970,1.56,2.62,"6' 0""",Matt Lindland,74,22-9-0,Southpaw,50%,52%,1.3,48%,3.01,60%,185
Jan 30 1986,0.00,0.00,"5' 10""",Christopher Lopez,,9-1-0 (1 NC),,0%,0%,0.0,0%,0.00,0%,170
Jul 30 1984,2.69,1.39,"5' 11""",Steve Lopez,,13-6-1,Orthodox,24%,62%,0.0,0%,0.00,37%,155
Dec 08 1973,3.47,0.99,"6' 2""",Lucio Linhares,,19-8-0,Orthodox,22%,34%,1.9,50%,1.86,50%,185
Jul 21 1980,2.87,2.87,"5' 11""",Chris Leben,73,22-11-0,Southpaw,42%,52%,0.8,41%,1.14,53%,185
Aug 11 1986,4.82,3.52,"5' 9""",Artem Lobov,65,13-15-1 (1 NC),Southpaw,41%,50%,0.0,25%,0.39,52%,145
Oct 05 1979,0.00,0.00,"6' 2""",Lucas Lopes,,29-19-0,,0%,0%,0.0,0%,0.00,0%,185
--,2.76,2.46,"5' 9""",Jess Liaudin,72,20-11-0,Orthodox,51%,41%,1.6,53%,3.28,30%,170
Jun 03 1974,6.17,2.40,"6' 2""",Stefan Leko,,0-3-0,Orthodox,43%,68%,0.0,0%,0.00,0%,215
--,7.06,2.47,"5' 10""",Stevie Lynch,,5-2-0,Orthodox,25%,41%,0.0,0%,0.00,0%,170
May 18 1984,5.75,4.87,"5' 10""",Jeremy Larsen,70,8-5-0,Orthodox,48%,57%,0.0,33%,2.49,0%,145
Sep 03 1986,2.74,3.53,"5' 11""",Lorenz Larkin,72,18-6-0 (1 NC),Orthodox,46%,63%,0.1,42%,0.27,79%,170
Jan 05 1968,2.12,0.76,"6' 3""",Kimo Leopoldo,,10-7-1,Orthodox,83%,30%,2.3,100%,4.55,0%,235
Mar 13 1982,3.86,2.70,"5' 7""",Lina Lansberg,65,10-7-0,Orthodox,55%,44%,0.1,27%,0.56,48%,135
Sep 19 1989,3.97,4.53,"6' 2""",Volkan Oezdemir,75,18-7-0,Orthodox,47%,55%,0.0,28%,0.47,80%,205
Feb 25 1991,3.97,2.54,"5' 3""",Rachael Ostovich,62,4-6-0,Orthodox,43%,57%,0.8,83%,2.03,66%,125
Oct 27 1978,2.08,2.86,"5' 8""",Sherron Leggett,,21-6-0,Southpaw,51%,47%,0.0,80%,5.19,33%,155
Dec 25 1988,2.17,2.94,"5' 5""",Dustin Ortiz,65,19-8-0,Orthodox,44%,56%,0.1,36%,3.01,52%,125
Apr 11 1992,0.80,0.13,"5' 8""",Sidney Outlaw,74,8-4-0,Orthodox,33%,71%,3.0,75%,3.00,0%,170
Aug 17 1976,1.49,0.93,"6' 3""",Valentijn Overeem,,30-32-0,Orthodox,34%,58%,4.7,50%,1.86,0%,230
--,4.27,0.00,--,Masakatsu Okuda,,8-5-0,,0%,34%,4.3,0%,0.00,0%,--
Dec 17 1980,0.00,0.00,"5' 7""",Shana Olsen,,5-2-0,,0%,0%,0.0,0%,0.00,0%,145
Jun 07 1994,5.75,5.30,"5' 11""",David Onama,74,10-2-0,Orthodox,45%,51%,0.3,20%,1.06,45%,145
Feb 24 1993,2.20,1.80,"6' 1""",Gadzhi Omargadzhiev,71,13-2-0,Switch,39%,39%,0.5,30%,1.35,60%,170
Feb 16 1989,2.23,2.24,"5' 8""",Andy Ogle,69,9-6-0,Orthodox,44%,50%,0.0,26%,1.44,58%,145
Feb 14 1973,0.00,0.00,"5' 9""",Craig Oxley,,0-3-0,,0%,0%,0.0,0%,0.00,0%,155
Dec 22 1986,2.73,2.63,"5' 11""",Zak Ottow,72,17-7-0,Orthodox,36%,58%,0.4,29%,0.97,57%,170
Sep 25 1984,1.92,1.31,"6' 3""",Jake O'Brien,76,15-4-0,Orthodox,31%,69%,0.2,54%,6.39,25%,205
Mar 31 1968,1.66,2.41,"6' 4""",Naoya Ogawa,,7-2-0,Orthodox,42%,47%,1.2,100%,1.25,66%,255
Feb 21 1988,2.55,2.99,"5' 11""",Alex Oliveira,76,22-12-1 (2 NC),Orthodox,51%,46%,0.6,38%,2.35,63%,170
May 31 1977,17.86,1.43,"5' 8""",Koji Oishi,,25-10-10,Orthodox,9%,43%,0.0,0%,0.00,0%,170
--,0.00,0.00,--,Kurt Osiander,,4-1-0,,0%,0%,0.0,0%,0.00,0%,185
Apr 11 1974,1.96,0.64,"5' 11""",Shungo Oyama,,14-19-0,Southpaw,25%,57%,0.5,57%,1.07,62%,185
Sep 14 1988,2.21,3.49,"5' 10""",Alan Omer,,20-5-0,Orthodox,55%,64%,0.0,42%,1.69,66%,145
Apr 18 1994,3.40,5.60,"6' 3""",Chibwikem Onyenegecha,,5-0-0,Orthodox,55%,52%,0.0,0%,0.00,100%,185
--,2.12,1.29,"5' 6""",Takafumi Otsuka,,22-13-2,Orthodox,27%,67%,0.0,27%,1.64,65%,139
May 01 1981,2.90,3.15,"6' 2""",Nissen Osterneck,,12-4-0,Orthodox,58%,41%,1.3,12%,0.63,42%,185
May 08 1975,0.00,0.00,"6' 5""",Richard Odoms,,13-3-0,Orthodox,0%,0%,0.0,0%,0.00,0%,265
May 02 1984,4.92,3.44,"6' 4""",Bruno Oliveira,80,8-2-0,Orthodox,33%,54%,0.0,0%,0.00,0%,205
--,1.97,1.53,"5' 11""",Kazuki Okubo,,7-9-0,Orthodox,38%,46%,2.0,25%,0.51,36%,175
--,0.00,0.00,"6' 1""",Takayuki Okada,,3-3-2,Orthodox,0%,0%,0.0,0%,0.00,0%,290
Apr 12 1985,4.60,6.68,"5' 9""",Felipe Olivieri,,14-5-0 (1 NC),Orthodox,58%,57%,0.0,0%,0.00,71%,155
Sep 02 1983,6.77,5.46,"6' 1""",Sean O'Connell,74,17-9-0,Orthodox,48%,45%,0.5,0%,0.00,30%,205
Dec 12 1996,5.35,5.27,"5' 6""",Maria Oliveira,69,13-6-0,Orthodox,39%,43%,0.0,50%,0.62,47%,115
Feb 27 1979,1.67,1.20,"5' 7""",Artur Oumakhanov,,9-6-0,Orthodox,33%,82%,0.0,75%,3.00,33%,154
Jul 17 1971,1.16,0.90,"6' 1""",Alexander Otsuka,,5-13-0,Orthodox,55%,51%,0.8,43%,1.51,53%,205
Nov 22 1989,2.20,3.13,"6' 1""",Cameron Olson,75,7-3-0 (1 NC),Orthodox,47%,57%,1.0,42%,3.00,100%,205
Sep 22 1985,4.40,3.13,"6' 2""",Chuck O'Neil,,17-9-0,,37%,72%,0.0,0%,0.00,0%,170
Feb 06 1986,3.00,2.20,"5' 11""",Andrew Holbrook,70,12-3-0,Southpaw,49%,54%,2.1,18%,0.85,10%,155
Jun 12 1983,0.32,2.36,"6' 0""",Andy Ologun,,3-1-0,Orthodox,57%,85%,0.0,100%,0.68,80%,154
Oct 05 1976,3.80,3.69,"6' 1""",Matt Hamill,76,12-8-0,Orthodox,42%,61%,0.0,34%,3.00,91%,205
--,0.00,0.00,--,Matt Helm,,1-1-0,,0%,0%,0.0,0%,0.00,0%,155
Aug 05 1988,2.98,3.25,"5' 11""",Ian Heinisch,72,14-5-0,Orthodox,50%,59%,0.7,17%,1.02,59%,185
Oct 12 1981,1.56,1.28,"5' 8""",Jason High,73,21-6-0,Southpaw,42%,48%,2.8,63%,2.36,37%,155
Jul 09 1987,2.07,4.03,"6' 0""",Carlston Harris,76,17-5-0,Orthodox,45%,66%,1.6,0%,0.00,75%,170
--,0.00,0.00,"5' 8""",Steve Hadsel,,3-0-0,,0%,0%,0.0,0%,0.00,0%,170
Jan 12 1985,4.97,5.68,"5' 3""",Angela Hill,64,15-12-0,Orthodox,49%,62%,0.1,29%,0.58,77%,115
Oct 18 1979,0.00,0.00,"6' 0""",Stoney Hale,,5-3-0,,0%,0%,0.0,0%,0.00,0%,--
--,0.00,0.00,--,Noe Hernandez,,5-5-0,Orthodox,0%,0%,0.0,0%,0.00,0%,--
--,0.00,0.00,"5' 9""",Alex Hunter,,2-0-0,Orthodox,0%,0%,0.0,0%,0.00,0%,226
Jun 17 1976,3.01,1.98,"5' 10""",Kuniyoshi Hironaka,70,23-9-0,Orthodox,40%,54%,0.6,30%,1.91,25%,168
Nov 16 1977,4.83,0.69,"5' 11""",Delson Heleno,,29-10-0,Orthodox,75%,19%,0.0,0%,0.00,0%,185
Aug 24 1982,1.42,1.44,"5' 6""",Daiki Hata,,17-11-7,Orthodox,39%,55%,0.7,100%,0.67,35%,139
Mar 02 1989,4.66,2.64,"6' 3""",Lorenzo Hood,80,14-5-0 (1 NC),Southpaw,61%,11%,0.0,0%,0.00,100%,265
Sep 12 1983,3.99,3.49,"5' 9""",Johny Hendricks,69,18-8-0,Southpaw,45%,53%,0.3,46%,3.83,63%,185
Feb 11 1979,3.66,2.92,"5' 10""",Conor Heun,,9-5-0,Orthodox,36%,54%,0.3,31%,2.45,33%,155
--,0.00,0.00,"6' 7""",Jon Hess,,1-1-0,,0%,0%,0.0,0%,0.00,0%,295
--,7.25,2.75,"6' 3""",Rex Holman,,4-2-0,Southpaw,34%,40%,0.0,0%,0.00,100%,205
Sep 25 1980,3.91,3.29,"6' 1""",Clay Harvison,74,13-6-0,Orthodox,48%,58%,1.3,100%,0.66,68%,170
Nov 20 1996,4.42,2.59,"6' 1""",Ahmad Hassanzada,75,10-2-0,Orthodox,34%,40%,0.0,22%,2.50,0%,155
Jun 28 1992,4.88,3.93,"5' 5""",Sam Hughes,64,7-5-0,Orthodox,47%,52%,0.0,37%,1.14,47%,115
Apr 07 1995,5.09,3.35,"6' 3""",Hu Yaozong,72,3-3-0,Orthodox,48%,35%,0.4,0%,0.00,33%,185
May 14 1990,3.40,1.89,"6' 0""",Alvaro Herrera Mendoza,74,9-6-0,Orthodox,38%,55%,1.1,0%,0.00,33%,155
Jun 09 1987,3.50,3.47,"5' 9""",Jimy Hettes,71,11-3-0,Southpaw,57%,57%,1.4,44%,5.20,61%,145
Aug 28 1976,11.80,0.98,"6' 2""",Josh Hendricks,,19-11-0 (1 NC),Southpaw,20%,29%,0.0,0%,0.00,0%,235
--,0.40,3.53,"6' 1""",Brandon Hester,,3-0-0,,53%,68%,0.0,80%,4.00,0%,205
May 19 1968,0.00,0.00,"6' 1""",Satoshi Honma,,4-6-3,Orthodox,0%,0%,0.0,0%,0.00,0%,205
May 10 1988,4.07,3.13,"6' 3""",Cory Hendricks,,3-1-0,,39%,42%,0.0,0%,0.00,100%,205
Dec 18 1990,3.27,3.53,"5' 8""",JunYoung Hong,69,11-7-1,Orthodox,39%,54%,0.0,0%,0.00,40%,145
Oct 28 1968,1.32,2.02,"6' 2""",Bobby Hoffman,,36-10-1 (2 NC),Orthodox,70%,19%,1.2,50%,1.17,0%,245
--,0.00,0.00,"5' 4""",Matt Horning,,20-25-0 (1 NC),,0%,0%,0.0,0%,0.00,0%,125
Jul 14 1980,3.68,1.02,--,Lee Higgins,,2-1-0,,26%,40%,0.0,0%,0.00,0%,155
May 17 1982,3.44,2.46,"6' 0""",Dan Hardy,74,25-10-0 (1 NC),Orthodox,35%,51%,0.4,35%,0.73,35%,170
Jul 20 1983,3.00,1.67,"6' 1""",Ryan Healy,,25-14-1,Orthodox,35%,38%,1.0,50%,3.00,40%,155
Jan 03 1989,6.53,3.54,"6' 2""",Harry Hunsucker,75,7-6-0,Orthodox,52%,42%,2.0,0%,0.00,0%,205
--,0.00,0.00,--,Ryan Hayes,,7-6-0,,0%,0%,0.0,0%,0.00,0%,--
Oct 24 1987,1.94,1.85,"5' 11""",Chris Holdsworth,,6-0-0,,29%,58%,2.0,62%,3.38,100%,135
Nov 16 1983,1.79,2.93,"5' 9""",Benson Henderson,70,24-7-0,Southpaw,45%,63%,0.8,45%,2.40,63%,170
Jul 13 1978,0.00,0.00,"5' 9""",Hidehiko Hasegawa,,19-20-6,,0%,0%,0.0,0%,0.00,0%,170
--,0.00,0.00,--,Jamie Houston,,3-0-0,,0%,0%,0.0,0%,0.00,0%,185
Nov 13 1980,1.52,1.11,"5' 10""",John Hosman,,18-8-1,Southpaw,38%,45%,0.0,0%,0.00,46%,135
Apr 04 1986,0.00,0.00,"5' 5""",Alan Hiro,,14-5-4,Orthodox,0%,0%,0.0,0%,0.00,0%,135
Aug 31 1972,2.59,2.59,"5' 11""",Solomon Hutcherson,,11-7-0 (1 NC),Southpaw,39%,64%,0.0,100%,3.53,0%,185
Mar 08 1987,5.15,4.20,"5' 2""",Seo Hee Ham,62,17-8-0,Southpaw,39%,61%,0.2,0%,0.00,66%,115
--,0.00,0.00,--,Luke Hartwig,,0-1-0,,0%,0%,0.0,0%,0.00,0%,--
Sep 24 1987,3.16,4.59,"5' 9""",Chris Horodecki,69,21-7-1 (1 NC),Orthodox,41%,65%,0.9,55%,1.52,37%,155
Aug 30 1979,4.67,4.04,"5' 4""",Barb Honchak,65,10-4-0,Orthodox,30%,66%,1.3,0%,0.00,0%,125
Jun 10 1988,3.69,5.13,"6' 1""",Jack Hermansson,77,23-8-0,Orthodox,44%,55%,0.4,29%,1.66,75%,185
Apr 14 1980,3.02,3.91,"6' 5""",Anthony Hamilton,76,15-9-0,Orthodox,65%,45%,0.0,42%,2.62,78%,260
--,0.00,0.00,--,Janay Harding,,2-3-0,,0%,0%,0.0,0%,0.00,0%,135
Aug 02 1978,3.46,1.86,"5' 7""",Jeff Hougland,68,10-6-0,Orthodox,48%,47%,1.1,18%,0.86,0%,135
Nov 25 1975,3.06,1.42,"5' 6""",Marcus Hicks,64,10-4-0 (1 NC),Southpaw,43%,61%,4.0,53%,2.70,25%,155
--,0.00,0.00,"5' 10""",Gerric Hayes,,8-11-0,,0%,0%,0.0,0%,0.00,0%,--
Sep 02 1988,0.00,0.00,"5' 9""",Young Hwang,,8-5-0,,0%,0%,0.0,0%,0.00,0%,135
Jul 25 1988,1.41,2.99,"5' 10""",Chris Honeycutt,73,9-1-0 (1 NC),,44%,66%,0.0,45%,3.40,75%,170
Sep 29 1994,2.73,2.05,"6' 3""",Collin Huckbody,76,8-2-0,Orthodox,60%,42%,20.4,100%,10.23,0%,185
Sep 18 1984,5.19,3.84,"5' 4""",Felice Herrig,65,14-10-0,Orthodox,37%,48%,0.8,28%,1.08,75%,115
May 10 1995,5.65,2.76,"5' 8""",Yoshinori Horie,70,8-2-0,Orthodox,49%,48%,0.0,0%,0.00,0%,145
Jul 17 1988,4.16,5.20,"6' 0""",Danny Henry,73,12-4-0,Orthodox,51%,45%,2.2,33%,0.74,50%,145
Mar 23 1974,2.90,2.81,"5' 10""",Mark Hunt,72,13-14-1 (1 NC),Orthodox,43%,51%,0.2,55%,0.51,64%,265
Dec 16 1992,10.77,4.62,"5' 9""",Brady Huang,69,11-2-0,Orthodox,37%,30%,0.0,0%,0.00,0%,135
Apr 15 1990,3.07,0.70,"5' 3""",Gabrielle Holloway,,6-5-0,,42%,34%,1.0,35%,3.00,16%,145
Oct 18 1993,3.50,4.03,"6' 0""",Anthony Hernandez,75,10-2-0 (1 NC),Orthodox,59%,47%,2.4,64%,6.49,66%,185
Oct 20 1982,3.16,2.11,"5' 10""",Hayder Hassan,,6-3-0,,46%,48%,0.0,0%,0.00,25%,170
Sep 07 1980,0.00,0.00,"5' 10""",David Hulett,,22-10-0,,0%,0%,0.0,0%,0.00,0%,170
Sep 07 1983,2.36,2.71,"5' 8""",Ian Loveland,,18-10-0,Orthodox,40%,64%,0.3,37%,1.00,69%,145
Nov 17 1982,5.10,4.00,"5' 4""",Dan O'Connor,,6-6-0 (1 NC),,56%,54%,0.0,0%,0.00,100%,115
--,0.00,0.00,"5' 11""",Ben Holscher,,4-0-0,,0%,0%,0.0,0%,0.00,0%,155
Sep 04 1983,3.16,2.34,"5' 4""",Phil Harris,65,22-12-0 (2 NC),Orthodox,26%,68%,0.0,21%,1.76,60%,125
--,0.00,0.00,"6' 1""",Jorge Oliveira,,5-3-1 (1 NC),,0%,0%,0.0,0%,0.00,0%,205
May 17 1980,2.44,3.67,"6' 4""",Alistair Overeem,80,47-19-0 (1 NC),Orthodox,64%,57%,0.8,55%,1.42,73%,265
--,0.00,2.48,"5' 7""",Casey Olson,,14-5-0,Orthodox,60%,100%,1.8,57%,3.54,100%,145
Oct 07 1997,4.68,8.65,"5' 6""",Casey O'Neill,69,9-0-0,Orthodox,57%,57%,1.0,44%,2.59,60%,125
Mar 27 1986,5.72,3.81,"5' 5""",Alptekin Ozkilic,65,9-5-0,Orthodox,32%,59%,0.0,58%,4.21,75%,125
Jul 20 1993,0.00,0.00,--,Ho Taek Oh,,7-2-1,,0%,0%,0.0,0%,0.00,0%,155
Jun 01 1983,4.40,3.77,"5' 10""",Wendell Oliveira Marques,,29-10-0,Orthodox,47%,47%,0.0,0%,0.00,100%,170
--,2.80,3.53,"6' 0""",Jorge Ortiz,,18-9-1 (1 NC),Orthodox,58%,73%,0.0,0%,0.00,0%,185
Dec 19 1975,3.06,2.01,"5' 6""",Michihiro Omigawa,68,17-14-1,Orthodox,39%,64%,1.5,36%,1.19,49%,145
Apr 21 1991,3.10,2.73,"5' 4""",Saimon Oliveira,72,18-4-0,Orthodox,44%,54%,2.0,42%,1.50,31%,135
Feb 05 1996,5.27,1.73,"5' 8""",Christian Ocon,69,2-1-0,Orthodox,53%,34%,0.0,0%,0.00,63%,135
--,1.82,0.23,"5' 8""",Takahiro Oba,,5-7-1,Southpaw,25%,69%,0.0,0%,0.00,0%,200
Aug 31 1982,3.29,3.09,"6' 0""",Daniel Omielanczuk,74,19-8-1 (1 NC),Southpaw,57%,47%,0.1,26%,0.56,68%,247
Feb 21 1991,6.66,4.19,"5' 8""",Brian Ortega,69,15-3-0 (1 NC),Switch,38%,49%,1.2,23%,0.95,56%,145
Feb 22 1995,4.19,4.95,"6' 0""",Michal Oleksiejczuk,74,17-5-0 (1 NC),Southpaw,50%,64%,0.0,42%,0.70,50%,205
